Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
1,1,489.83,1493.86,5274
1,26,93.61,377.03,1686
1,51,93.86,379.85,1617
1,76,95.13,398.96,1926
1,101,95.15,333.53,1735
1,126,90.32,372.68,1608
1,151,92.21,381.59,1806
1,176,93.83,388.04,1779
1,201,90.96,380.23,1704
1,226,93.55,364.76,1640
1,251,95.92,341.11,1731
1,276,92.77,400.51,1816
1,301,97.19,342.57,1695
1,326,91.92,340.39,1599
1,351,93.79,335.67,1782
1,376,92.17,337.00,1717
1,401,90.54,402.50,1725
1,426,95.74,429.04,1828
1,451,93.48,398.89,1883
1,476,94.67,371.06,1720
3,1,329.53,1193.43,11216
3,26,72.31,359.52,5942
3,51,69.69,325.17,5951
3,76,71.24,390.69,5704
3,101,71.14,343.66,6048
3,126,71.06,389.82,5668
3,151,70.22,384.56,5681
3,176,71.21,350.54,5973
3,201,70.90,323.29,5608
3,226,71.23,387.88,5537
3,251,72.79,343.76,6033
3,276,70.93,326.56,6029
3,301,70.29,344.47,6053
3,326,70.95,343.81,6020
3,351,70.99,372.66,5832
3,376,70.72,343.70,5753
3,401,69.29,341.65,5692
3,426,73.04,343.55,5836
3,451,73.07,336.15,5940
3,476,70.12,342.80,5589
5,1,324.18,1053.67,14286
5,26,65.25,372.50,10259
5,51,65.75,375.63,9706
5,76,66.43,363.45,9777
5,101,65.26,327.57,9766
5,126,64.37,380.63,9242
5,151,66.53,372.42,9666
5,176,66.68,369.75,10496
5,201,64.21,392.67,9538
5,226,65.65,384.45,9417
5,251,63.77,418.91,9340
5,276,65.11,374.05,9769
5,301,66.17,397.51,10137
5,326,66.59,392.23,10025
5,351,66.45,387.67,10210
5,376,65.10,397.24,9490
5,401,65.27,417.31,9437
5,426,65.75,354.36,10052
5,451,64.08,403.44,9569
5,476,66.37,369.45,10135
7,1,293.46,1084.64,17161
7,26,63.91,399.74,12990
7,51,64.29,405.84,13938
7,76,64.19,400.73,13833
7,101,63.31,396.68,13924
7,126,62.18,395.07,13485
7,151,63.92,396.48,14205
7,176,62.93,403.87,13492
7,201,62.89,405.21,14020
7,226,63.95,375.47,13568
7,251,64.49,402.09,13813
7,276,64.14,381.50,14608
7,301,63.98,390.45,14934
7,326,63.29,403.50,13513
7,351,63.59,371.49,14243
7,376,63.49,378.75,13887
7,401,62.88,400.22,13413
7,426,65.35,367.95,14033
7,451,63.28,419.69,13504
7,476,65.26,418.06,13881
9,1,536.70,1506.19,22520
9,26,61.26,390.39,15251
9,51,62.38,419.10,15688
9,76,60.73,388.97,14722
9,101,61.11,379.47,14769
9,126,62.35,398.11,15434
9,151,61.20,398.70,15459
9,176,61.55,398.28,15047
9,201,61.91,376.18,15096
9,226,62.77,374.94,15586
9,251,61.41,399.24,15288
9,276,61.33,402.18,15361
9,301,60.77,390.00,14862
9,326,62.39,384.05,15309
9,351,60.17,392.87,14293
9,376,63.24,447.41,15635
9,401,61.63,398.21,15283
9,426,60.20,375.67,14733
9,451,60.88,402.72,14753
9,476,62.05,377.27,15249
11,1,552.01,1503.11,22858
11,26,61.92,449.48,19424
11,51,63.28,493.97,19308
11,76,60.91,437.42,18491
11,101,61.32,498.38,19066
11,126,62.53,422.42,19029
11,151,60.65,397.86,18090
11,176,62.82,438.41,19326
11,201,61.02,399.81,17928
11,226,62.24,422.19,19014
11,251,60.30,389.73,18017
11,276,62.12,413.23,18778
11,301,62.73,406.53,19812
11,326,61.23,427.97,19339
11,351,61.27,426.44,18607
11,376,62.14,451.72,19229
11,401,61.83,414.68,18732
11,426,62.44,407.13,18992
11,451,61.22,409.75,18856
11,476,61.09,374.99,18214
13,1,553.38,1509.80,22361
13,26,60.60,384.62,20393
13,51,63.03,437.40,21383
13,76,62.69,437.32,21293
13,101,62.21,401.07,21085
13,126,60.79,444.17,20720
13,151,62.41,390.24,20359
13,176,60.54,399.46,20605
13,201,61.54,434.06,20612
13,226,62.23,407.32,20995
13,251,61.78,405.42,20898
13,276,62.12,387.86,21362
13,301,61.16,434.83,20452
13,326,62.90,421.64,21972
13,351,62.24,443.59,21643
13,376,61.30,405.32,21268
13,401,62.44,438.81,21402
13,426,61.24,398.78,20513
13,451,60.89,442.10,20913
13,476,61.14,403.57,21043
15,1,537.68,1540.83,22545
15,26,62.49,457.56,24304
15,51,62.07,435.17,24603
15,76,61.13,437.98,24346
15,101,60.80,446.40,24070
15,126,61.92,421.23,23582
15,151,62.52,458.99,23984
15,176,61.80,419.76,23491
15,201,63.28,469.74,24510
15,226,60.92,387.54,23691
15,251,61.57,424.07,23422
15,276,61.45,456.19,24286
15,301,62.34,460.24,24368
15,326,62.84,423.14,23666
15,351,63.53,568.61,24781
15,376,61.35,410.74,24796
15,401,62.03,479.24,23975
15,426,61.94,435.76,23550
15,451,62.25,413.26,24570
15,476,62.60,464.40,25243
17,1,542.78,1462.72,22955
17,26,61.47,462.59,27718
17,51,61.56,506.00,28418
17,76,60.38,455.48,27745
17,101,60.49,458.31,26364
17,126,60.71,451.81,27081
17,151,61.09,491.59,28406
17,176,61.78,476.60,27991
17,201,61.29,413.78,27340
17,226,61.89,496.81,28693
17,251,60.89,462.31,27150
17,276,59.28,418.77,26515
17,301,60.64,463.29,26723
17,326,60.79,455.55,26210
17,351,62.10,482.62,27711
17,376,60.75,468.98,28059
17,401,60.66,462.63,26865
17,426,61.04,472.29,27382
17,451,61.32,442.60,27932
17,476,59.85,458.54,26090
19,1,549.63,1515.31,22451
19,26,61.35,516.43,31579
19,51,62.28,494.64,32595
19,76,60.70,488.38,30739
19,101,62.67,488.57,31374
19,126,60.09,509.14,30615
19,151,61.82,564.81,31453
19,176,61.13,498.77,31736
19,201,60.98,536.27,31189
19,226,60.34,474.58,29848
19,251,62.15,518.47,31657
19,276,60.32,459.74,29707
19,301,59.94,476.20,31287
19,326,62.25,547.60,31298
19,351,60.48,478.10,31119
19,376,60.10,468.97,29882
19,401,60.43,502.14,30663
19,426,61.84,493.06,32665
19,451,60.87,503.63,30974
19,476,61.43,498.70,30926
