Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
1,1,96.97,232.69,1406
1,2,72.97,235.35,1341
1,3,64.87,222.46,1100
1,4,64.58,236.86,1259
1,5,65.71,227.02,1190
1,6,68.50,257.77,1420
1,7,66.41,240.08,1291
1,8,65.53,231.73,1219
1,9,65.28,217.06,1134
1,10,60.96,210.04,1014
1,11,61.64,237.91,1045
1,12,59.95,201.04,1031
1,13,64.29,219.78,1201
1,14,65.51,198.88,1233
1,15,62.91,203.89,978
1,16,65.05,253.02,1151
1,17,62.82,227.70,1094
1,18,61.93,204.20,1036
1,19,63.67,222.43,1130
1,20,62.35,238.07,1082
1,21,64.53,199.96,1163
1,22,64.86,246.85,1201
1,23,65.16,227.66,1051
1,24,65.82,225.23,1177
1,25,64.29,201.60,1099
1,26,67.11,240.09,1197
1,27,63.76,220.58,1131
1,28,60.46,182.16,985
1,29,63.63,215.45,1166
1,30,66.17,237.49,1195
1,31,62.66,193.35,1043
1,32,66.12,241.25,1295
1,33,66.63,236.57,1260
1,34,63.93,204.73,1069
1,35,66.22,235.56,1395
1,36,66.82,233.02,1394
1,37,66.35,234.07,1344
1,38,67.67,223.05,1364
1,39,66.68,227.43,1369
1,40,65.45,234.82,1162
1,41,63.31,201.66,1073
1,42,62.89,199.34,1024
1,43,60.56,216.59,1014
1,44,64.80,197.65,1156
1,45,68.78,251.34,1370
1,46,64.70,215.04,1255
1,47,67.63,229.02,1358
1,48,65.63,223.12,1175
1,49,67.78,225.84,1174
1,50,59.65,176.78,932
2,1,88.16,249.35,2946
2,2,62.04,242.95,2557
2,3,53.03,257.67,2616
2,4,52.68,239.10,2609
2,5,52.20,242.20,2617
2,6,52.32,236.75,2729
2,7,52.86,255.55,2746
2,8,53.64,248.09,2791
2,9,52.80,245.54,2690
2,10,51.32,244.60,2594
2,11,54.11,244.77,2901
2,12,49.97,241.71,2701
2,13,53.51,251.47,2767
2,14,52.85,241.54,2824
2,15,52.43,241.89,2591
2,16,53.25,241.30,3006
2,17,52.70,241.49,2813
2,18,50.94,241.16,2864
2,19,53.02,240.82,2833
2,20,51.92,256.72,2823
2,21,50.98,261.58,2811
2,22,52.12,244.59,2896
2,23,52.46,244.12,2835
2,24,52.96,225.63,2707
2,25,53.62,242.48,2892
2,26,53.84,260.71,3049
2,27,51.64,240.57,2907
2,28,52.58,262.18,2766
2,29,51.58,241.50,2849
2,30,51.86,241.66,2974
2,31,49.25,256.31,2601
2,32,50.07,210.25,2627
2,33,52.51,241.03,2914
2,34,52.28,240.58,3016
2,35,52.76,244.75,2812
2,36,53.86,253.97,3125
2,37,52.81,253.91,3102
2,38,52.60,240.63,2867
2,39,52.85,244.43,2958
2,40,52.00,240.57,2833
2,41,49.72,242.88,2723
2,42,49.76,204.32,2768
2,43,51.17,261.96,2903
2,44,54.14,241.07,2731
2,45,51.37,255.51,2729
2,46,52.91,241.31,2904
2,47,51.98,255.99,3016
2,48,52.86,244.92,2913
2,49,52.54,241.02,2794
2,50,52.19,243.57,2884
3,1,93.66,251.39,3978
3,2,59.06,236.81,4262
3,3,47.27,237.00,4037
3,4,46.74,240.12,4559
3,5,45.09,233.99,4283
3,6,46.45,236.63,4424
3,7,48.02,241.72,4450
3,8,48.53,241.96,4439
3,9,45.76,238.30,4462
3,10,47.18,261.86,4492
3,11,47.05,257.31,4619
3,12,46.81,241.73,4542
3,13,45.56,244.74,4595
3,14,47.11,241.29,4563
3,15,47.11,241.04,4348
3,16,46.25,244.64,4229
3,17,45.11,254.19,4721
3,18,47.49,244.80,4767
3,19,45.75,253.72,4343
3,20,46.41,240.92,4699
3,21,44.58,253.33,4434
3,22,45.48,242.00,4725
3,23,45.76,258.79,4660
3,24,45.34,251.37,4735
3,25,45.87,241.60,4828
3,26,44.09,241.14,4464
3,27,44.70,241.85,4587
3,28,44.42,241.75,4492
3,29,45.37,251.22,4689
3,30,43.84,244.85,4528
3,31,43.82,240.81,4576
3,32,45.03,259.32,4730
3,33,45.31,240.30,4642
3,34,44.17,241.37,4455
3,35,44.99,247.16,4393
3,36,45.40,244.91,4349
3,37,44.11,240.72,4725
3,38,44.63,240.48,4708
3,39,43.51,241.53,4378
3,40,44.49,250.85,4514
3,41,44.49,240.82,4490
3,42,45.53,241.75,4456
3,43,44.85,245.58,4948
3,44,45.60,241.51,4509
3,45,42.85,241.71,4338
3,46,45.04,251.63,4266
3,47,45.24,244.77,4618
3,48,43.73,253.68,4150
3,49,46.73,241.13,4652
3,50,44.47,244.92,4518
4,1,92.19,257.23,4648
4,2,60.07,253.16,5593
4,3,51.57,261.67,5954
4,4,50.19,244.50,5976
4,5,46.82,257.49,5800
4,6,47.95,257.26,5593
4,7,48.79,241.71,5627
4,8,48.29,246.91,5505
4,9,48.86,271.78,5886
4,10,49.00,256.56,6039
4,11,49.37,265.30,6032
4,12,49.85,273.56,5937
4,13,46.68,254.42,5420
4,14,46.15,240.54,5701
4,15,48.10,256.87,5677
4,16,46.74,260.86,5780
4,17,48.39,256.64,5683
4,18,49.00,243.59,5335
4,19,48.08,256.65,6209
4,20,47.94,255.65,5806
4,21,46.92,257.97,5491
4,22,44.84,229.79,5366
4,23,47.37,258.28,6191
4,24,46.47,241.55,5826
4,25,46.08,239.86,5881
4,26,46.43,256.74,5901
4,27,46.35,253.68,5684
4,28,46.42,255.58,6027
4,29,46.87,255.85,6021
4,30,45.23,265.04,5471
4,31,46.59,254.01,5927
4,32,47.52,264.47,5844
4,33,46.01,243.38,5902
4,34,46.43,253.55,5884
4,35,48.08,240.54,5932
4,36,45.57,240.92,5688
4,37,46.39,240.27,5846
4,38,45.91,259.09,5965
4,39,45.80,240.54,5906
4,40,46.47,243.81,5766
4,41,45.40,240.23,6047
4,42,45.36,240.34,5665
4,43,47.76,272.19,5980
4,44,45.77,265.54,5788
4,45,47.59,255.89,6107
4,46,45.05,232.68,5872
4,47,45.64,258.08,5663
4,48,46.53,271.17,5746
4,49,46.25,236.35,6128
4,50,46.86,256.78,5573
5,1,89.32,257.23,4214
5,2,62.51,258.94,6664
5,3,48.84,252.55,6829
5,4,48.79,251.13,6865
5,5,49.55,241.33,6588
5,6,49.50,248.17,6380
